V (V), Freq (Hz), C (F), G (S)
-3.0,1000.0,1.184741e-10,4.028817e-07
-2.95,1000.0,1.182335e-10,3.055012e-07
-2.9000000000000004,1000.0,1.183446e-10,2.395918e-07
-2.8500000000000005,1000.0,1.184181e-10,1.922688e-07
-2.8000000000000007,1000.0,1.186523e-10,1.557491e-07
-2.750000000000001,1000.0,1.187864e-10,1.270846e-07
-2.700000000000001,1000.0,1.190421e-10,1.039413e-07
-2.6500000000000012,1000.0,1.192319e-10,8.676226e-08
-2.6000000000000014,1000.0,1.194613e-10,7.237206e-08
-2.5500000000000016,1000.0,1.197573e-10,6.15029e-08
-2.5000000000000018,1000.0,1.200765e-10,5.235706e-08
-2.450000000000002,1000.0,1.203635e-10,4.519126e-08
-2.400000000000002,1000.0,1.2064e-10,3.921642e-08
-2.3500000000000023,1000.0,1.209553e-10,3.452811e-08
-2.3000000000000025,1000.0,1.213191e-10,2.99653e-08
-2.2500000000000027,1000.0,1.216375e-10,2.747111e-08
-2.200000000000003,1000.0,1.220319e-10,2.482074e-08
-2.150000000000003,1000.0,1.22344e-10,2.314717e-08
-2.100000000000003,1000.0,1.227495e-10,2.164031e-08
-2.0500000000000034,1000.0,1.231699e-10,2.085627e-08
-2.0000000000000036,1000.0,1.235528e-10,1.98792e-08
-1.9500000000000037,1000.0,1.239443e-10,1.933235e-08
-1.900000000000004,1000.0,1.244301e-10,1.916853e-08
-1.850000000000004,1000.0,1.247691e-10,1.842498e-08
-1.8000000000000043,1000.0,1.252705e-10,1.840176e-08
-1.7500000000000044,1000.0,1.256335e-10,1.861185e-08
-1.7000000000000046,1000.0,1.260624e-10,1.862734e-08
-1.6500000000000048,1000.0,1.264341e-10,1.917986e-08
-1.600000000000005,1000.0,1.268772e-10,1.939641e-08
-1.5500000000000052,1000.0,1.27317e-10,1.966086e-08
-1.5000000000000053,1000.0,1.276358e-10,1.996668e-08
-1.4500000000000055,1000.0,1.281044e-10,2.010449e-08
-1.4000000000000057,1000.0,1.283915e-10,2.052352e-08
-1.3500000000000059,1000.0,1.288305e-10,2.062721e-08
-1.300000000000006,1000.0,1.29211e-10,2.089155e-08
-1.2500000000000062,1000.0,1.295833e-10,2.11858e-08
-1.2000000000000064,1000.0,1.299023e-10,2.115314e-08
-1.1500000000000066,1000.0,1.302252e-10,2.07818e-08
-1.1000000000000068,1000.0,1.305298e-10,2.024206e-08
-1.050000000000007,1000.0,1.308726e-10,2.020062e-08
-1.000000000000007,1000.0,1.311226e-10,2.003507e-08
-0.9500000000000073,1000.0,1.314591e-10,2.00192e-08
-0.9000000000000075,1000.0,1.317174e-10,1.95946e-08
-0.8500000000000076,1000.0,1.32104e-10,1.857567e-08
-0.8000000000000078,1000.0,1.324771e-10,1.880621e-08
-0.750000000000008,1000.0,1.329194e-10,1.88668e-08
-0.7000000000000082,1000.0,1.333943e-10,1.806345e-08
-0.6500000000000083,1000.0,1.33835e-10,1.81859e-08
-0.6000000000000085,1000.0,1.344972e-10,1.796785e-08
-0.5500000000000087,1000.0,1.352113e-10,1.77932e-08
-0.5000000000000089,1000.0,1.360456e-10,1.801919e-08
-0.45000000000000906,1000.0,1.369494e-10,1.823926e-08
-0.40000000000000924,1000.0,1.379497e-10,1.82375e-08
-0.3500000000000094,1000.0,1.392639e-10,1.888726e-08
-0.3000000000000096,1000.0,1.407519e-10,1.912532e-08
-0.25000000000000977,1000.0,1.426354e-10,2.029288e-08
-0.20000000000000995,1000.0,1.448172e-10,2.137592e-08
-0.15000000000001013,1000.0,1.474371e-10,2.270898e-08
-0.1000000000000103,1000.0,1.504252e-10,2.428277e-08
-0.05000000000001048,1000.0,1.537447e-10,2.647096e-08
-1.0658141036401503e-14,1000.0,1.569718e-10,2.800026e-08
0.049999999999989164,1000.0,1.596987e-10,2.931444e-08
0.09999999999998899,1000.0,1.609609e-10,2.991227e-08
0.1499999999999888,1000.0,1.610985e-10,2.883545e-08
0.19999999999998863,1000.0,1.603114e-10,2.739871e-08
0.24999999999998845,1000.0,1.58889e-10,2.616272e-08
0.2999999999999883,1000.0,1.569358e-10,2.38794e-08
0.3499999999999881,1000.0,1.549655e-10,2.243213e-08
0.3999999999999879,1000.0,1.528937e-10,2.029205e-08
0.44999999999998774,1000.0,1.508992e-10,1.864778e-08
0.49999999999998757,1000.0,1.491133e-10,1.725848e-08
0.5499999999999874,1000.0,1.473527e-10,1.636696e-08
0.5999999999999872,1000.0,1.45771e-10,1.500651e-08
0.649999999999987,1000.0,1.442965e-10,1.435463e-08
0.6999999999999869,1000.0,1.428797e-10,1.372953e-08
0.7499999999999867,1000.0,1.416614e-10,1.305492e-08
0.7999999999999865,1000.0,1.403176e-10,1.224985e-08
0.8499999999999863,1000.0,1.390494e-10,1.227152e-08
0.8999999999999861,1000.0,1.377232e-10,1.238655e-08
0.949999999999986,1000.0,1.362637e-10,1.177816e-08
0.9999999999999858,1000.0,1.347689e-10,1.136054e-08
1.0499999999999856,1000.0,1.329115e-10,1.129948e-08
1.0999999999999854,1000.0,1.311185e-10,1.097617e-08
1.1499999999999853,1000.0,1.291941e-10,1.084884e-08
1.199999999999985,1000.0,1.270829e-10,1.084245e-08
1.249999999999985,1000.0,1.248182e-10,1.089635e-08
1.2999999999999847,1000.0,1.224514e-10,1.068999e-08
1.3499999999999845,1000.0,1.200897e-10,1.035019e-08
1.3999999999999844,1000.0,1.17626e-10,1.030293e-08
1.4499999999999842,1000.0,1.149929e-10,1.00373e-08
1.499999999999984,1000.0,1.124468e-10,1.01778e-08
1.5499999999999838,1000.0,1.100213e-10,1.012588e-08
1.5999999999999837,1000.0,1.075003e-10,1.015569e-08
1.6499999999999835,1000.0,1.050647e-10,9.852787e-09
1.6999999999999833,1000.0,1.026094e-10,1.024057e-08
1.7499999999999831,1000.0,1.003371e-10,1.056108e-08
1.799999999999983,1000.0,9.808044e-11,1.050042e-08
1.8499999999999828,1000.0,9.599952e-11,1.130419e-08
1.8999999999999826,1000.0,9.403142e-11,1.211714e-08
1.9499999999999824,1000.0,9.220745e-11,1.331782e-08
1.9999999999999822,1000.0,9.037887e-11,1.48972e-08
2.049999999999982,1000.0,8.880304e-11,1.714375e-08
2.099999999999982,1000.0,8.732347e-11,1.856273e-08
2.1499999999999817,1000.0,8.58694e-11,2.175377e-08
